cweID,cweName,weaknessAbstraction,status,cweDescription
CWE-20,Improper Input Validation,Class,Stable,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Base,Stable,"The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
CWE-59,Improper Link Resolution Before File Access ('Link Following'),Base,Draft,"The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource."
CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,Incomplete,"The software constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component."
CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),Class,Draft,"The software constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Base,Stable,"The software constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Base,Stable,The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,Draft,"The software constructs a string for a command to executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."
CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Base,Stable,"The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
CWE-90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),Base,Draft,"The software constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component."
CWE-94,Improper Control of Generation of Code ('Code Injection'),Base,Draft,"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Class,Stable,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Base,Incomplete,"The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."
CWE-121,Stack-based Buffer Overflow,Variant,Draft,"A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function)."
CWE-122,Heap-based Buffer Overflow,Variant,Draft,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc()."
CWE-125,Out-of-bounds Read,Base,Draft,"The software reads data past the end, or before the beginning, of the intended buffer."
CWE-134,Use of Externally-Controlled Format String,Base,Draft,"The software uses a function that accepts a format string as an argument, but the format string originates from an external source."
CWE-190,Integer Overflow or Wraparound,Base,Stable,"The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Class,Draft,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
CWE-252,Unchecked Return Value,Base,Draft,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
CWE-281,Improper Preservation of Permissions,Base,Draft,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
CWE-284,Improper Access Control,Pillar,Incomplete,The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor.
CWE-285,Improper Authorization,Class,Draft,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.
CWE-287,Improper Authentication,Class,Draft,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
CWE-295,Improper Certificate Validation,Base,Draft,"The software does not validate, or incorrectly validates, a certificate."
CWE-330,Use of Insufficiently Random Values,Class,Stable,The software uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.
CWE-346,Origin Validation Error,Base,Draft,The software does not properly verify that the source of data or communication is valid.
CWE-354,Improper Validation of Integrity Check Value,Base,Draft,The software does not validate or incorrectly validates the integrity check values or checksums of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.
